Statistic,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Explosives, chemical weapons offences",Number,2
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Discharging a firearm,Number,35
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Possession of a firearm,Number,30
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Offensive weapons offences (n.e.c.),Number,226
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Fireworks offences,Number,0
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Damage to property and to the environment,Number,3925
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Arson,Number,84
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Criminal damage (not arson),Number,3830
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Litter offences,Number,11
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Public order and other social code offences,Number,4580
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Disorderly conduct,Number,3815
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Trespass offences,Number,324
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Liquor licensing offences,Number,146
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Prostitution offences,Number,18
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences",Number,78
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Social code offences (n.e.c.),Number,199
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime",Number,1873
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Offences against government and its agents,Number,29
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime,Number,1
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Perverting the course of justice,Number,23
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders",Number,1820
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Homicide offences,Number,5
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Murder,Number,0
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Manslaughter,Number,0
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Dangerous driving leading to death,Number,5
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Sexual offences,Number,89
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Rape and sexual assault,Number,81
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Other sexual offences,Number,8
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1043
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Threat to kill or cause serious harm,Number,2
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Harassment and related offences,Number,197
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Assault causing harm, poisoning",Number,191
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Other assault,Number,653
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Dangerous or negligent acts,Number,1232
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Dangerous driving causing serious bodily harm,Number,2
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,1205
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs,Number,3
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Endangerment with potential for serious harm/death,Number,3
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Abandoning a child, child neglect and cruelty",Number,9
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Endangering traffic offences,Number,10
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Kidnapping and related offences,Number,7
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,False imprisonment,Number,6
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Abduction of person under 16 years of age,Number,1
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Robbery, extortion and hijacking offences",Number,58
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Robbery of an establishment or institution,Number,25
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Robbery of cash or goods in transit,Number,1
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Robbery from the person,Number,26
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Blackmail or extortion,Number,3
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,3
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Burglary and related offences,Number,1019
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Aggravated burglary,Number,13
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Burglary (not aggravated),Number,996
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Possession of an article (with intent to burgle, steal, demand)",Number,10
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Theft and related offences,Number,2721
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Theft/taking of vehicle and related offences,Number,458
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Theft from person,Number,83
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Theft from shop,Number,648
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Other thefts, handling stolen property",Number,1532
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Fraud, deception and related offences",Number,366
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Controlled drug offences,Number,447
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Importation of drugs,Number,0
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Cultivation or manufacture of drugs,Number,6
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Possession of drugs for sale or supply,Number,94
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Possession of drugs for personal use,Number,330
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Other drug offences,Number,17
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Weapons and Explosives Offences,Number,87
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Explosives, chemical weapons offences",Number,0
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Discharging a firearm,Number,14
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Possession of a firearm,Number,14
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Offensive weapons offences (n.e.c.),Number,56
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Fireworks offences,Number,3
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Damage to property and to the environment,Number,2035
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Arson,Number,74
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Criminal damage (not arson),Number,1951
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Litter offences,Number,10
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Public order and other social code offences,Number,2732
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Disorderly conduct,Number,2326
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Trespass offences,Number,105
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Liquor licensing offences,Number,236
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Prostitution offences,Number,1
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Regulated betting/money, collection/trading offences",Number,18
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Social code offences (n.e.c.),Number,46
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Offences against government, justice procedures and organisation of crime",Number,250
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Offences against government and its agents,Number,4
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,Perverting the course of justice,Number,12
Recorded Crime Offences Under Reservation,2007Q1,20 North Western Region,"Offences while in custody, breach of court orders",Number,234
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Homicide offences,Number,8
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Murder,Number,2
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Manslaughter,Number,0
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Dangerous driving leading to death,Number,6
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Sexual offences,Number,96
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Rape and sexual assault,Number,91
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Other sexual offences,Number,5
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1015
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Threat to kill or cause serious harm,Number,4
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Harassment and related offences,Number,164
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,"Assault causing harm, poisoning",Number,212
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Other assault,Number,635
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Dangerous or negligent acts,Number,1345
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Dangerous driving causing serious bodily harm,Number,2
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,1275
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs,Number,24
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,Endangerment with potential for serious harm/death,Number,0
Recorded Crime Offences Under Reservation,2007Q1,30 Eastern Region,"Abandoning a child, child neglect and cruelty",Number,35
