Statistic,Year,Area of Residence,Age Group of Mother,UNIT,VALUE
Births,2008,Wexford Borough,25 - 29 years,Number,44
Births,2008,Wexford Borough,30 - 34 years,Number,37
Births,2008,Wexford Borough,35 - 39 years,Number,15
Births,2008,Wexford Borough,40 - 44 years,Number,5
Births,2008,Wexford Borough,45 years and over,Number,
Births,2008,Wexford Borough,Age not stated,Number,
Births,2008,Wexford Borough,All ages,Number,147
Births,2008,Gorey,Under 20 years,Number,
Births,2008,Gorey,20 - 24 years,Number,
Births,2008,Gorey,25 - 29 years,Number,
Births,2008,Gorey,30 - 34 years,Number,
Births,2008,Gorey,35 - 39 years,Number,
Births,2008,Gorey,40 - 44 years,Number,
Births,2008,Gorey,45 years and over,Number,
Births,2008,Gorey,Age not stated,Number,
Births,2008,Gorey,All ages,Number,
Births,2008,Rest of Co. Wexford,Under 20 years,Number,68
Births,2008,Rest of Co. Wexford,20 - 24 years,Number,282
Births,2008,Rest of Co. Wexford,25 - 29 years,Number,460
Births,2008,Rest of Co. Wexford,30 - 34 years,Number,586
Births,2008,Rest of Co. Wexford,35 - 39 years,Number,403
Births,2008,Rest of Co. Wexford,40 - 44 years,Number,80
Births,2008,Rest of Co. Wexford,45 years and over,Number,6
Births,2008,Rest of Co. Wexford,Age not stated,Number,
Births,2008,Rest of Co. Wexford,All ages,Number,1885
Births,2008,Munster,Under 20 years,Number,586
Births,2008,Munster,20 - 24 years,Number,2459
Births,2008,Munster,25 - 29 years,Number,4637
Births,2008,Munster,30 - 34 years,Number,6857
Births,2008,Munster,35 - 39 years,Number,4517
Births,2008,Munster,40 - 44 years,Number,817
Births,2008,Munster,45 years and over,Number,34
Births,2008,Munster,Age not stated,Number,8
Births,2008,Munster,All ages,Number,19915
Births,2008,Waterford County,Under 20 years,Number,27
Births,2008,Waterford County,20 - 24 years,Number,108
Births,2008,Waterford County,25 - 29 years,Number,247
Births,2008,Waterford County,30 - 34 years,Number,402
Births,2008,Waterford County,35 - 39 years,Number,229
Births,2008,Waterford County,40 - 44 years,Number,42
