Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Births Outside Marriage/Civil Partnership,2012,36 years,7,Number,1
Births Outside Marriage/Civil Partnership,2012,36 years,8,Number,1
Births Outside Marriage/Civil Partnership,2012,36 years,9,Number,1
Births Outside Marriage/Civil Partnership,2012,36 years,10 or more,Number,1
Births Outside Marriage/Civil Partnership,2012,36 years,Not stated,Number,2
Births Outside Marriage/Civil Partnership,2012,37 years,Previous liveborn children,Number,608
Births Outside Marriage/Civil Partnership,2012,37 years,0,Number,194
Births Outside Marriage/Civil Partnership,2012,37 years,1,Number,203
Births Outside Marriage/Civil Partnership,2012,37 years,2,Number,120
Births Outside Marriage/Civil Partnership,2012,37 years,3,Number,55
Births Outside Marriage/Civil Partnership,2012,37 years,4,Number,14
Births Outside Marriage/Civil Partnership,2012,37 years,5,Number,15
Births Outside Marriage/Civil Partnership,2012,37 years,6,Number,5
Births Outside Marriage/Civil Partnership,2012,37 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,37 years,8,Number,1
Births Outside Marriage/Civil Partnership,2012,37 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,37 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,37 years,Not stated,Number,1
Births Outside Marriage/Civil Partnership,2012,38 years,Previous liveborn children,Number,550
Births Outside Marriage/Civil Partnership,2012,38 years,0,Number,165
Births Outside Marriage/Civil Partnership,2012,38 years,1,Number,185
Births Outside Marriage/Civil Partnership,2012,38 years,2,Number,104
Births Outside Marriage/Civil Partnership,2012,38 years,3,Number,52
Births Outside Marriage/Civil Partnership,2012,38 years,4,Number,25
Births Outside Marriage/Civil Partnership,2012,38 years,5,Number,7
Births Outside Marriage/Civil Partnership,2012,38 years,6,Number,8
Births Outside Marriage/Civil Partnership,2012,38 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,38 years,8,Number,1
Births Outside Marriage/Civil Partnership,2012,38 years,9,Number,1
Births Outside Marriage/Civil Partnership,2012,38 years,10 or more,Number,1
Births Outside Marriage/Civil Partnership,2012,38 years,Not stated,Number,1
Births Outside Marriage/Civil Partnership,2012,39 years,Previous liveborn children,Number,483
Births Outside Marriage/Civil Partnership,2012,39 years,0,Number,161
Births Outside Marriage/Civil Partnership,2012,39 years,1,Number,147
Births Outside Marriage/Civil Partnership,2012,39 years,2,Number,83
Births Outside Marriage/Civil Partnership,2012,39 years,3,Number,52
Births Outside Marriage/Civil Partnership,2012,39 years,4,Number,16
Births Outside Marriage/Civil Partnership,2012,39 years,5,Number,12
Births Outside Marriage/Civil Partnership,2012,39 years,6,Number,5
Births Outside Marriage/Civil Partnership,2012,39 years,7,Number,3
Births Outside Marriage/Civil Partnership,2012,39 years,8,Number,1
Births Outside Marriage/Civil Partnership,2012,39 years,9,Number,1
Births Outside Marriage/Civil Partnership,2012,39 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,39 years,Not stated,Number,2
Births Outside Marriage/Civil Partnership,2012,40 years,Previous liveborn children,Number,340
Births Outside Marriage/Civil Partnership,2012,40 years,0,Number,108
Births Outside Marriage/Civil Partnership,2012,40 years,1,Number,120
Births Outside Marriage/Civil Partnership,2012,40 years,2,Number,45
Births Outside Marriage/Civil Partnership,2012,40 years,3,Number,33
Births Outside Marriage/Civil Partnership,2012,40 years,4,Number,19
Births Outside Marriage/Civil Partnership,2012,40 years,5,Number,6
Births Outside Marriage/Civil Partnership,2012,40 years,6,Number,5
Births Outside Marriage/Civil Partnership,2012,40 years,7,Number,2
Births Outside Marriage/Civil Partnership,2012,40 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,40 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,40 years,10 or more,Number,2
Births Outside Marriage/Civil Partnership,2012,40 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2012,41 years,Previous liveborn children,Number,229
Births Outside Marriage/Civil Partnership,2012,41 years,0,Number,75
Births Outside Marriage/Civil Partnership,2012,41 years,1,Number,74
Births Outside Marriage/Civil Partnership,2012,41 years,2,Number,40
Births Outside Marriage/Civil Partnership,2012,41 years,3,Number,20
Births Outside Marriage/Civil Partnership,2012,41 years,4,Number,5
Births Outside Marriage/Civil Partnership,2012,41 years,5,Number,6
Births Outside Marriage/Civil Partnership,2012,41 years,6,Number,4
Births Outside Marriage/Civil Partnership,2012,41 years,7,Number,1
Births Outside Marriage/Civil Partnership,2012,41 years,8,Number,4
Births Outside Marriage/Civil Partnership,2012,41 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,41 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,41 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2012,42 years,Previous liveborn children,Number,152
Births Outside Marriage/Civil Partnership,2012,42 years,0,Number,46
Births Outside Marriage/Civil Partnership,2012,42 years,1,Number,51
Births Outside Marriage/Civil Partnership,2012,42 years,2,Number,24
Births Outside Marriage/Civil Partnership,2012,42 years,3,Number,10
Births Outside Marriage/Civil Partnership,2012,42 years,4,Number,6
Births Outside Marriage/Civil Partnership,2012,42 years,5,Number,8
Births Outside Marriage/Civil Partnership,2012,42 years,6,Number,1
Births Outside Marriage/Civil Partnership,2012,42 years,7,Number,4
Births Outside Marriage/Civil Partnership,2012,42 years,8,Number,1
Births Outside Marriage/Civil Partnership,2012,42 years,9,Number,1
Births Outside Marriage/Civil Partnership,2012,42 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,42 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2012,43 years,Previous liveborn children,Number,91
Births Outside Marriage/Civil Partnership,2012,43 years,0,Number,25
Births Outside Marriage/Civil Partnership,2012,43 years,1,Number,29
Births Outside Marriage/Civil Partnership,2012,43 years,2,Number,14
Births Outside Marriage/Civil Partnership,2012,43 years,3,Number,12
Births Outside Marriage/Civil Partnership,2012,43 years,4,Number,6
Births Outside Marriage/Civil Partnership,2012,43 years,5,Number,3
Births Outside Marriage/Civil Partnership,2012,43 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,43 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,43 years,8,Number,1
Births Outside Marriage/Civil Partnership,2012,43 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,43 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,43 years,Not stated,Number,1
Births Outside Marriage/Civil Partnership,2012,44 years,Previous liveborn children,Number,51
Births Outside Marriage/Civil Partnership,2012,44 years,0,Number,17
Births Outside Marriage/Civil Partnership,2012,44 years,1,Number,18
Births Outside Marriage/Civil Partnership,2012,44 years,2,Number,6
Births Outside Marriage/Civil Partnership,2012,44 years,3,Number,3
Births Outside Marriage/Civil Partnership,2012,44 years,4,Number,3
Births Outside Marriage/Civil Partnership,2012,44 years,5,Number,
Births Outside Marriage/Civil Partnership,2012,44 years,6,Number,2
Births Outside Marriage/Civil Partnership,2012,44 years,7,Number,1
Births Outside Marriage/Civil Partnership,2012,44 years,8,Number,1
Births Outside Marriage/Civil Partnership,2012,44 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,44 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,44 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2012,15 years and under,Previous liveborn children,Number,27
Births Outside Marriage/Civil Partnership,2012,15 years and under,0,Number,26
Births Outside Marriage/Civil Partnership,2012,15 years and under,1,Number,1
Births Outside Marriage/Civil Partnership,2012,15 years and under,2,Number,
Births Outside Marriage/Civil Partnership,2012,15 years and under,3,Number,
Births Outside Marriage/Civil Partnership,2012,15 years and under,4,Number,
Births Outside Marriage/Civil Partnership,2012,15 years and under,5,Number,
Births Outside Marriage/Civil Partnership,2012,15 years and under,6,Number,
Births Outside Marriage/Civil Partnership,2012,15 years and under,7,Number,
Births Outside Marriage/Civil Partnership,2012,15 years and under,8,Number,
Births Outside Marriage/Civil Partnership,2012,15 years and under,9,Number,
Births Outside Marriage/Civil Partnership,2012,15 years and under,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,15 years and under,Not stated,Number,
Births Outside Marriage/Civil Partnership,2012,Under 20 years,Previous liveborn children,Number,1459
Births Outside Marriage/Civil Partnership,2012,Under 20 years,0,Number,1287
Births Outside Marriage/Civil Partnership,2012,Under 20 years,1,Number,156
Births Outside Marriage/Civil Partnership,2012,Under 20 years,2,Number,12
Births Outside Marriage/Civil Partnership,2012,Under 20 years,3,Number,2
Births Outside Marriage/Civil Partnership,2012,Under 20 years,4,Number,
Births Outside Marriage/Civil Partnership,2012,Under 20 years,5,Number,
Births Outside Marriage/Civil Partnership,2012,Under 20 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,Under 20 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,Under 20 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,Under 20 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,Under 20 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,Under 20 years,Not stated,Number,2
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,Previous liveborn children,Number,5572
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,0,Number,3594
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,1,Number,1543
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,2,Number,346
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,3,Number,66
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,4,Number,12
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,5,Number,2
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,6,Number,1
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,20 - 24 years,Not stated,Number,8
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,Previous liveborn children,Number,7593
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,0,Number,3601
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,1,Number,2645
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,2,Number,946
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,3,Number,269
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,4,Number,82
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,5,Number,26
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,6,Number,9
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,7,Number,2
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,8,Number,1
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,25 - 29 years,Not stated,Number,12
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,Previous liveborn children,Number,6314
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,0,Number,2577
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,1,Number,2114
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,2,Number,1014
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,3,Number,357
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,4,Number,142
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,5,Number,61
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,6,Number,17
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,7,Number,11
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,8,Number,3
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,9,Number,2
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,30 - 34 years,Not stated,Number,16
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,Previous liveborn children,Number,3313
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,0,Number,1123
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,1,Number,1072
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,2,Number,608
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,3,Number,295
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,4,Number,105
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,5,Number,57
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,6,Number,28
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,7,Number,7
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,8,Number,4
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,9,Number,3
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,10 or more,Number,2
Births Outside Marriage/Civil Partnership,2012,35 - 39 years,Not stated,Number,9
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,Previous liveborn children,Number,863
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,0,Number,271
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,1,Number,292
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,2,Number,129
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,3,Number,78
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,4,Number,39
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,5,Number,23
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,6,Number,12
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,7,Number,8
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,8,Number,7
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,9,Number,1
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,10 or more,Number,2
Births Outside Marriage/Civil Partnership,2012,40 - 44 years,Not stated,Number,1
Births Outside Marriage/Civil Partnership,2012,45 years and over,Previous liveborn children,Number,63
Births Outside Marriage/Civil Partnership,2012,45 years and over,0,Number,27
Births Outside Marriage/Civil Partnership,2012,45 years and over,1,Number,18
