Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Total Births,2009,16 years,5,Number,
Total Births,2009,16 years,6,Number,
Total Births,2009,16 years,7,Number,
Total Births,2009,16 years,8,Number,
Total Births,2009,16 years,9,Number,
Total Births,2009,16 years,10 or more,Number,
Total Births,2009,16 years,Not stated,Number,
Total Births,2009,17 years,Previous liveborn children,Number,369
Total Births,2009,17 years,0,Number,347
Total Births,2009,17 years,1,Number,22
Total Births,2009,17 years,2,Number,
Total Births,2009,17 years,3,Number,
Total Births,2009,17 years,4,Number,
Total Births,2009,17 years,5,Number,
Total Births,2009,17 years,6,Number,
Total Births,2009,17 years,7,Number,
Total Births,2009,17 years,8,Number,
Total Births,2009,17 years,9,Number,
Total Births,2009,17 years,10 or more,Number,
Total Births,2009,17 years,Not stated,Number,
Total Births,2009,18 years,Previous liveborn children,Number,634
Total Births,2009,18 years,0,Number,574
Total Births,2009,18 years,1,Number,52
Total Births,2009,18 years,2,Number,5
Total Births,2009,18 years,3,Number,
Total Births,2009,18 years,4,Number,
Total Births,2009,18 years,5,Number,
Total Births,2009,18 years,6,Number,
Total Births,2009,18 years,7,Number,
Total Births,2009,18 years,8,Number,
Total Births,2009,18 years,9,Number,
Total Births,2009,18 years,10 or more,Number,
Total Births,2009,18 years,Not stated,Number,3
Total Births,2009,19 years,Previous liveborn children,Number,1035
Total Births,2009,19 years,0,Number,906
Total Births,2009,19 years,1,Number,114
Total Births,2009,19 years,2,Number,8
Total Births,2009,19 years,3,Number,2
Total Births,2009,19 years,4,Number,
Total Births,2009,19 years,5,Number,
Total Births,2009,19 years,6,Number,
Total Births,2009,19 years,7,Number,
Total Births,2009,19 years,8,Number,
Total Births,2009,19 years,9,Number,
Total Births,2009,19 years,10 or more,Number,
Total Births,2009,19 years,Not stated,Number,5
Total Births,2009,20 years,Previous liveborn children,Number,1273
Total Births,2009,20 years,0,Number,974
Total Births,2009,20 years,1,Number,256
Total Births,2009,20 years,2,Number,31
Total Births,2009,20 years,3,Number,8
Total Births,2009,20 years,4,Number,
Total Births,2009,20 years,5,Number,
Total Births,2009,20 years,6,Number,
Total Births,2009,20 years,7,Number,
Total Births,2009,20 years,8,Number,
Total Births,2009,20 years,9,Number,
Total Births,2009,20 years,10 or more,Number,
Total Births,2009,20 years,Not stated,Number,4
Total Births,2009,21 years,Previous liveborn children,Number,1489
Total Births,2009,21 years,0,Number,1089
Total Births,2009,21 years,1,Number,332
Total Births,2009,21 years,2,Number,58
Total Births,2009,21 years,3,Number,4
Total Births,2009,21 years,4,Number,2
Total Births,2009,21 years,5,Number,
Total Births,2009,21 years,6,Number,
Total Births,2009,21 years,7,Number,
Total Births,2009,21 years,8,Number,
Total Births,2009,21 years,9,Number,
Total Births,2009,21 years,10 or more,Number,
Total Births,2009,21 years,Not stated,Number,4
Total Births,2009,22 years,Previous liveborn children,Number,1810
Total Births,2009,22 years,0,Number,1211
Total Births,2009,22 years,1,Number,460
Total Births,2009,22 years,2,Number,109
Total Births,2009,22 years,3,Number,25
Total Births,2009,22 years,4,Number,2
Total Births,2009,22 years,5,Number,
Total Births,2009,22 years,6,Number,
Total Births,2009,22 years,7,Number,
Total Births,2009,22 years,8,Number,
Total Births,2009,22 years,9,Number,
Total Births,2009,22 years,10 or more,Number,
Total Births,2009,22 years,Not stated,Number,3
Total Births,2009,23 years,Previous liveborn children,Number,2001
Total Births,2009,23 years,0,Number,1251
Total Births,2009,23 years,1,Number,552
Total Births,2009,23 years,2,Number,152
Total Births,2009,23 years,3,Number,35
Total Births,2009,23 years,4,Number,5
Total Births,2009,23 years,5,Number,
Total Births,2009,23 years,6,Number,
Total Births,2009,23 years,7,Number,
Total Births,2009,23 years,8,Number,
Total Births,2009,23 years,9,Number,
Total Births,2009,23 years,10 or more,Number,
Total Births,2009,23 years,Not stated,Number,6
Total Births,2009,24 years,Previous liveborn children,Number,2271
Total Births,2009,24 years,0,Number,1272
Total Births,2009,24 years,1,Number,704
Total Births,2009,24 years,2,Number,207
Total Births,2009,24 years,3,Number,65
Total Births,2009,24 years,4,Number,12
Total Births,2009,24 years,5,Number,1
Total Births,2009,24 years,6,Number,1
Total Births,2009,24 years,7,Number,
Total Births,2009,24 years,8,Number,
Total Births,2009,24 years,9,Number,
Total Births,2009,24 years,10 or more,Number,
Total Births,2009,24 years,Not stated,Number,9
Total Births,2009,25 years,Previous liveborn children,Number,2662
Total Births,2009,25 years,0,Number,1473
Total Births,2009,25 years,1,Number,800
Total Births,2009,25 years,2,Number,267
Total Births,2009,25 years,3,Number,84
Total Births,2009,25 years,4,Number,21
Total Births,2009,25 years,5,Number,2
Total Births,2009,25 years,6,Number,2
Total Births,2009,25 years,7,Number,1
Total Births,2009,25 years,8,Number,
Total Births,2009,25 years,9,Number,
Total Births,2009,25 years,10 or more,Number,
Total Births,2009,25 years,Not stated,Number,12
Total Births,2009,26 years,Previous liveborn children,Number,3189
Total Births,2009,26 years,0,Number,1718
Total Births,2009,26 years,1,Number,978
Total Births,2009,26 years,2,Number,346
Total Births,2009,26 years,3,Number,101
Total Births,2009,26 years,4,Number,26
Total Births,2009,26 years,5,Number,5
Total Births,2009,26 years,6,Number,
Total Births,2009,26 years,7,Number,
Total Births,2009,26 years,8,Number,
Total Births,2009,26 years,9,Number,
Total Births,2009,26 years,10 or more,Number,
Total Births,2009,26 years,Not stated,Number,15
Total Births,2009,27 years,Previous liveborn children,Number,3605
Total Births,2009,27 years,0,Number,1865
Total Births,2009,27 years,1,Number,1129
Total Births,2009,27 years,2,Number,405
Total Births,2009,27 years,3,Number,137
Total Births,2009,27 years,4,Number,37
Total Births,2009,27 years,5,Number,12
Total Births,2009,27 years,6,Number,3
Total Births,2009,27 years,7,Number,1
Total Births,2009,27 years,8,Number,1
Total Births,2009,27 years,9,Number,
Total Births,2009,27 years,10 or more,Number,
Total Births,2009,27 years,Not stated,Number,15
Total Births,2009,28 years,Previous liveborn children,Number,4092
Total Births,2009,28 years,0,Number,2016
Total Births,2009,28 years,1,Number,1284
Total Births,2009,28 years,2,Number,506
Total Births,2009,28 years,3,Number,171
Total Births,2009,28 years,4,Number,55
Total Births,2009,28 years,5,Number,27
Total Births,2009,28 years,6,Number,10
Total Births,2009,28 years,7,Number,5
Total Births,2009,28 years,8,Number,
Total Births,2009,28 years,9,Number,
Total Births,2009,28 years,10 or more,Number,
